EventId,EventTemplate
e04e83e7,calculateAltitudeWithCache <*>
f34a6130,REPORT : 7015 5008 150261 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1479388c,onReceive action: <*>
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
9ef768ab,isScreenOn true
0bb73e48,"screen status unknown,think screen on"
7ee0ba90,REPORT : 7017 5010 150304 240
1479388c,onReceive action: <*>
22b9413d,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
6634c941,flush sensor data
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
4dba672c,onStandStepChanged <*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
7ee0ba90,REPORT : 7017 5010 150304 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
fc31afbd,REPORT : 7018 5010 150325 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
b05beb58,REPORT : 7019 5011 150346 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
fe44d38b,REPORT : 7020 5012 150368 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
cd1d812f,REPORT : 7021 5012 150389 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
4184e19c,REPORT : 7022 5013 150411 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
66c24ecb,REPORT : 7023 5014 150432 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
998267a8,REPORT : 7024 5015 150454 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
7348f9ee,REPORT : 7025 5015 150475 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
25f0a6e4,REPORT : 7026 5016 150496 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
373ab714,REPORT : 7027 5017 150518 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
5e72c4bc,REPORT : 7028 5017 150539 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
96bba6c1,REPORT : 7029 5018 150561 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
5783ac5c,REPORT : 7030 5019 150582 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
56f65c57,REPORT : 7031 5020 150604 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
b1f972d1,REPORT : 7032 5020 150625 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
19353c88,REPORT : 7033 5021 150646 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
0d30601e,REPORT : 7034 5022 150668 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
dc6fd8f6,REPORT : 7035 5022 150689 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
6a43ce48,REPORT : 7036 5023 150711 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
f3a9abf2,REPORT : 7037 5024 150732 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
6f8d4c96,REPORT : 7038 5025 150753 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
87ef2d17,REPORT : 7039 5025 150775 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
142abcd7,REPORT : 7040 5026 150796 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
18a1ef0d,REPORT : 7041 5027 150818 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
e9634eae,REPORT : 7042 5027 150839 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
f3c5d428,REPORT : 7044 5029 150882 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
913e2bff,REPORT : 7045 5030 150903 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
6fcd2b66,REPORT : 7047 5031 150946 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
cb6d1aab,REPORT : 7048 5032 150968 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
21a82784,REPORT : 7050 5033 151011 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
7d7919c2,REPORT : 7052 5035 151053 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
5561a670,REPORT : 7053 5035 151075 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
bb92344f,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
120afd53,REPORT : 7054 5036 151096 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
bb92344f,processHandleBroadcastAction action:android.intent.action.TIME_TICK
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
afbf6e94,REPORT : 7056 5037 151139 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
4173b69f,REPORT : 7058 5039 151182 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
035b5d55,REPORT : 7060 5040 151225 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
a968582d,REPORT : 7062 5042 151268 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
e2871318,REPORT : 7064 5043 151310 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
e5214236,REPORT : 7066 5045 151353 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
59968900,REPORT : 7068 5046 151396 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
f9159e61,REPORT : 7070 5047 151439 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
17325b96,REPORT : 7071 5048 151460 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
541fee97,REPORT : 7074 5050 151525 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
952ce73d,REPORT : 7075 5051 151546 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
d37621d8,REPORT : 7077 5052 151589 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
19b198f5,REPORT : 7079 5054 151632 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
aa3bfae5,REPORT : 7081 5055 151675 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
c02d388d,REPORT : 7083 5057 151717 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
20e7621f,REPORT : 7084 5057 151739 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
c2f6797e,REPORT : 7086 5059 151782 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
dd215e09,REPORT : 7088 5060 151824 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
599fc8f8,REPORT : 7090 5062 151867 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
585c0b54,REPORT : 7092 5063 151910 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
3f671462,REPORT : 7094 5065 151953 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
9a6ec8d1,REPORT : 7095 5065 151974 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
7a944ecb,REPORT : 7097 5067 152017 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
88f2f2f9,REPORT : 7099 5068 152060 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
8831869a,REPORT : 7101 5070 152103 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
05f7ca92,REPORT : 7102 5070 152124 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
4fc65423,REPORT : 7103 5071 152146 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
9f7783f0,REPORT : 7104 5072 152167 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
975d6006,REPORT : 7105 5072 152189 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
6a91fb51,REPORT : 7106 5073 152210 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
6f959c5e,REPORT : 7107 5074 152231 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
796041cd,REPORT : 7109 5075 152274 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
bb92344f,processHandleBroadcastAction action:android.intent.action.TIME_TICK
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
1fb02a12,REPORT : 7111 5077 152317 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
fe1dd249,REPORT : 7112 5077 152339 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
600c1b73,REPORT : 7113 5078 152360 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
662e03b7,REPORT : 7114 5079 152381 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
bb92344f,processHandleBroadcastAction action:android.intent.action.TIME_TICK
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
1f31a71d,REPORT : 7117 5081 152446 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
92571766,REPORT : 7122 5085 152553 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
583aac5f,REPORT : 7124 5086 152596 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
6010d057,REPORT : 7126 5087 152638 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
317c6256,REPORT : 7128 5089 152681 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
02301c70,REPORT : 7130 5090 152724 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
93ab3643,REPORT : 7132 5092 152767 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
f9bf9901,REPORT : 7135 5094 152831 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
62fd4600,REPORT : 7139 5097 152917 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
952bcf26,REPORT : 7140 5097 152938 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
42fbc13e,REPORT : 7154 5107 153238 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
1479388c,onReceive action: <*>
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1479388c,onReceive action: <*>
